form	lemmaId	lemma	linkType	pos	via	note
feercheoyagh	feer-cheoyagh.a	feer cheoyagh	self	a.	feer cheoyagh	collapsed
feercheoyagh	feer-cheoyagh.a	feercheoyagh	univerbated	a.	feer cheoyagh	
kercheen	kercheen.n	kerçheen	self	s. f. m.	kerçheen	
kercheenee	kercheen.n	kerçheen	inflected	s. f. m.	kerçheen	
yn chercheen	kercheen.n	kerçheen	self	s.	yn cherçheen	
ynchercheen	kercheen.n	kerçheen	self	s.	yn cherçheen	collapsed
ynchercheen	kercheen.n	kerçheen	univerbated	s.	yn cherçheen	
chercheen	kercheen.n	kerçheen	particle	s.	yn cherçheen	
chercheen	kercheen.n	kerçheen	demutated	s. f. m.	yn cherçheen	
kercheenagh	kercheenagh.a	kerçheenagh	self	a.	kerçheenagh	
feer chercheenagh	feer-chercheenagh.a	feer cherçheenagh	self	a.	feer cherçheenagh	demutation-unvalidated
feerchercheenagh	feer-chercheenagh.a	feer cherçheenagh	self	a.	feer cherçheenagh	collapsed
feerchercheenagh	feer-chercheenagh.a	feercherçheenagh	univerbated	a.	feer cherçheenagh	
kercheenys	kercheenys.n	kerçheenys	self	s. f.	kerçheenys	
e chercheenys	kercheenys.n	kerçheenys	self	s.	e cherçheenys	
echercheenys	kercheenys.n	kerçheenys	self	s.	e cherçheenys	collapsed
echercheenys	kercheenys.n	kerçheenys	univerbated	s.	e cherçheenys	
chercheenys	kercheenys.n	kerçheenys	particle	s.	e cherçheenys	
chercheenys	kercheenys.n	kerçheenys	demutated	s. f.	e cherçheenys	
kere	kere.n	kere	self	s. f.	kere	
kereyn	kere.n	kere	inflected	s. f.	kere	
kerenyn	kere.n	kere	inflected	s. f.	kere	
keer	keer.x	keer	self		keer	
yn chere	chere.n	chere	self	s.	yn chere	
ynchere	chere.n	chere	self	s.	yn chere	collapsed
ynchere	chere.n	chere	univerbated	s.	yn chere	
chere	chere.n	chere	particle	s.	yn chere	
chere	kere.n	kere	demutated	s. f.	yn chere	
nyn gere	kere.n	kere	self	s.	nyn gere	
nyngere	kere.n	kere	self	s.	nyn gere	collapsed
nyngere	kere.n	kere	univerbated	s.	nyn gere	
gere	kere.n	kere	particle	s.	nyn gere	
kere volley	kere-volley.n	kere-volley	self	s. f.	kere-volley	
kerevolley	kere-volley.n	kere-volley	self	s. f.	kere-volley	collapsed
kerevolley	kere-volley.n	kerevolley	univerbated	s. f.	kere-volley	
kere	kere.v	kere	self	v.	kere	
kereagh	kere.v	kere	inflected	v.	kere	
kereee	kere.v	kere	inflected	v.	kere	
kerein	kere.v	kere	inflected	v.	kere	
kereins	kere.v	kere	inflected	v.	kere	
kereym	kere.v	kere	inflected	v.	kere	
kereyms	kere.v	kere	inflected	v.	kere	
kereys	kere.v	kere	inflected	v.	kere	
cha gere	kere.v	kere	self	v.	cha gere	
chagere	kere.v	kere	self	v.	cha gere	collapsed
chagere	kere.v	kere	univerbated	v.	cha gere	
gere	kere.v	kere	particle	v.	cha gere	
cha gereagh	kere.v	kere	inflected	v.	cha gere	
chagereagh	kere.v	kere	inflected	v.	cha gere	collapsed
chagereagh	kere.v	kere	univerbated	v.	cha gere	
gereagh	kere.v	kere	inflected	v.	cha gere	
cha gerein	kere.v	kere	inflected	v.	cha gere	
chagerein	kere.v	kere	inflected	v.	cha gere	collapsed
chagerein	kere.v	kere	univerbated	v.	cha gere	
gerein	kere.v	kere	inflected	v.	cha gere	
cha gereins	kere.v	kere	inflected	v.	cha gere	
chagereins	kere.v	kere	inflected	v.	cha gere	collapsed
chagereins	kere.v	kere	univerbated	v.	cha gere	
gereins	kere.v	kere	inflected	v.	cha gere	
cha gereym	kere.v	kere	inflected	v.	cha gere	
chagereym	kere.v	kere	inflected	v.	cha gere	collapsed
chagereym	kere.v	kere	univerbated	v.	cha gere	
gereym	kere.v	kere	inflected	v.	cha gere	
cha gereyms	kere.v	kere	inflected	v.	cha gere	
chagereyms	kere.v	kere	inflected	v.	cha gere	collapsed
chagereyms	kere.v	kere	univerbated	v.	cha gere	
gereyms	kere.v	kere	inflected	v.	cha gere	
chere	kere.v	kere	self	v.	chere	
chereagh	kere.v	kere	inflected	v.	chere	
cherein	kere.v	kere	inflected	v.	chere	
chereins	kere.v	kere	inflected	v.	chere	
chereym	kere.v	kere	inflected	v.	chere	
chereyms	kere.v	kere	inflected	v.	chere	
chereys	kere.v	kere	inflected	v.	chere	
kerey	kerey.v	kerey	self	v.	kerey	
dy cherey	kerey.v	kerey	self	v.	dy cherey	
dycherey	kerey.v	kerey	self	v.	dy cherey	collapsed
dycherey	kerey.v	kerey	univerbated	v.	dy cherey	
cherey	kerey.v	kerey	particle	v.	dy cherey	
cherey	kerey.v	kerey	demutated	v.	dy cherey	
kereit	kereit.x	kereit	self		kereit	
s'keret	s'keret.a	s'keret	self	a.	s'keret	demutation-unvalidated
keret	s'keret.a	s'keret	mutation	a.	s'keret	demutation-unvalidated
kereyder	kereyder.n	kereyder	self	s. m.	kereyder	
kereyderyn	kereyder.n	kereyder	inflected	s. m.	kereyder	
yn cherereyder	cherereyder.n	cherereyder	self	s.	yn cherereyder	demutation-unvalidated
yncherereyder	cherereyder.n	cherereyder	self	s.	yn cherereyder	collapsed
yncherereyder	cherereyder.n	cherereyder	univerbated	s.	yn cherereyder	
cherereyder	cherereyder.n	cherereyder	particle	s.	yn cherereyder	demutation-unvalidated
yn chereyder	chereyder.n	chereyder	self	s.	yn chereyder	
ynchereyder	chereyder.n	chereyder	self	s.	yn chereyder	collapsed
ynchereyder	chereyder.n	chereyder	univerbated	s.	yn chereyder	
chereyder	chereyder.n	chereyder	particle	s.	yn chereyder	
chereyder	kereyder.n	kereyder	demutated	s. m.	yn chereyder	
kerr	kerr.v	kerr	self	v.	kerr	
kerragh	kerr.v	kerr	inflected	v.	kerr	
kerree	kerr.v	kerr	inflected	v.	kerr	
kerrin	kerr.v	kerr	inflected	v.	kerr	
kerrins	kerr.v	kerr	inflected	v.	kerr	
kerrym	kerr.v	kerr	inflected	v.	kerr	
kerryms	kerr.v	kerr	inflected	v.	kerr	
kerrys	kerr.v	kerr	inflected	v.	kerr	
cha gerree	gerree.v	gerree	self	v.	cha gerree	demutation-unvalidated
chagerree	gerree.v	gerree	self	v.	cha gerree	collapsed
chagerree	gerree.v	gerree	univerbated	v.	cha gerree	
gerree	gerree.v	gerree	particle	v.	cha gerree	demutation-unvalidated
cha gerreeagh	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
chagerreeagh	gerree.v	gerree	inflected	v.	cha gerree	collapsed
chagerreeagh	gerree.v	gerree	univerbated	v.	cha gerree	
gerreeagh	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
cha gerreein	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
chagerreein	gerree.v	gerree	inflected	v.	cha gerree	collapsed
chagerreein	gerree.v	gerree	univerbated	v.	cha gerree	
gerreein	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
cha gerreeins	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
chagerreeins	gerree.v	gerree	inflected	v.	cha gerree	collapsed
chagerreeins	gerree.v	gerree	univerbated	v.	cha gerree	
gerreeins	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
